Region,Province,Mun,Mun_Code_New,Mun_Code_Old,Total Occupied Housing Units
NATIONAL CAPITAL REGION (NCR),"NCR, City of Manila, First District (Not a Province)",CITY OF MANILA,PH1380600000,PH133900000,"447,791"
NATIONAL CAPITAL REGION (NCR),"NCR, Second District (Not a Province)",CITY OF MANDALUYONG,PH1380500000,PH137401000,"108,859"
NATIONAL CAPITAL REGION (NCR),"NCR, Second District (Not a Province)",CITY OF MARIKINA,PH1380700000,PH137402000,"97,768"
NATIONAL CAPITAL REGION (NCR),"NCR, Second District (Not a Province)",CITY OF PASIG,PH1381200000,PH137403000,"196,744"
NATIONAL CAPITAL REGION (NCR),"NCR, Second District (Not a Province)",QUEZON CITY,PH1381300000,PH137404000,"697,332"
NATIONAL CAPITAL REGION (NCR),"NCR, Second District (Not a Province)",CITY OF SAN JUAN,PH1381400000,PH137405000,"29,503"
NATIONAL CAPITAL REGION (NCR),"NCR, Third District (Not a Province)",CITY OF CALOOCAN,PH1380100000,PH137501000,"379,922"
NATIONAL CAPITAL REGION (NCR),"NCR, Third District (Not a Province)",CITY OF MALABON,PH1380400000,PH137502000,"88,079"
NATIONAL CAPITAL REGION (NCR),"NCR, Third District (Not a Province)",CITY OF NAVOTAS,PH1380900000,PH137503000,"55,476"
NATIONAL CAPITAL REGION (NCR),"NCR, Third District (Not a Province)",CITY OF VALENZUELA,PH1381600000,PH137504000,"177,749"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",CITY OF LAS PIÑAS,PH1380200000,PH137601000,"142,990"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",CITY OF MAKATI,PH1380300000,PH137602000,"180,256"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",CITY OF MUNTINLUPA,PH1380800000,PH137603000,"126,655"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",CITY OF PARAÑAQUE,PH1381000000,PH137604000,"170,674"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",PASAY CITY,PH1381100000,PH137605000,"114,778"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",PATEROS,PH1381701000,PH137606000,"14,103"
NATIONAL CAPITAL REGION (NCR),"NCR, Fourth District (Not a Province)",CITY OF TAGUIG,PH1381500000,PH137607000,"228,341"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,BANGUED (Capital),PH1400101000,PH140101000,"11,607"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,BOLINEY,PH1400102000,PH140102000,871
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,BUCAY,PH1400103000,PH140103000,"4,261"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,BUCLOC,PH1400104000,PH140104000,480
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,DAGUIOMAN,PH1400105000,PH140105000,410
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,DANGLAS,PH1400106000,PH140106000,925
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,DOLORES,PH1400107000,PH140107000,"2,779"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LA PAZ,PH1400108000,PH140108000,"3,893"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LACUB,PH1400109000,PH140109000,675
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LAGANGILANG,PH1400110000,PH140110000,"3,317"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LAGAYAN,PH1400111000,PH140111000,"1,042"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LANGIDEN,PH1400112000,PH140112000,798
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LICUAN-BAAY (LICUAN),PH1400113000,PH140113000,987
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,LUBA,PH1400114000,PH140114000,"1,459"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,MALIBCONG,PH1400115000,PH140115000,819
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,MANABO,PH1400116000,PH140116000,"2,660"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,PEÑARRUBIA,PH1400117000,PH140117000,"1,583"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,PIDIGAN,PH1400118000,PH140118000,"2,861"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,PILAR,PH1400119000,PH140119000,"2,444"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,SALLAPADAN,PH1400120000,PH140120000,"1,446"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,SAN ISIDRO,PH1400121000,PH140121000,"1,178"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,SAN JUAN,PH1400122000,PH140122000,"2,430"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,SAN QUINTIN,PH1400123000,PH140123000,"1,399"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,TAYUM,PH1400124000,PH140124000,"3,387"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,TINEG,PH1400125000,PH140125000,866
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,TUBO,PH1400126000,PH140126000,"1,028"
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,VILLAVICIOSA,PH1400127000,PH140127000,"1,323"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,ATOK,PH1401101000,PH141101000,"4,724"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAKUN,PH1401103000,PH141103000,"3,451"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BOKOD,PH1401104000,PH141104000,"3,425"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BUGUIAS,PH1401105000,PH141105000,"11,748"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,ITOGON,PH1401106000,PH141106000,"15,052"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,KABAYAN,PH1401107000,PH141107000,"3,720"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,KAPANGAN,PH1401108000,PH141108000,"4,607"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,KIBUNGAN,PH1401109000,PH141109000,"4,125"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,LA TRINIDAD (Capital),PH1401110000,PH141110000,"36,422"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,MANKAYAN,PH1401111000,PH141111000,"9,248"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,SABLAN,PH1401112000,PH141112000,"2,807"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,TUBA,PH1401113000,PH141113000,"11,917"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,TUBLAY,PH1401114000,PH141114000,"4,470"
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,CITY OF BAGUIO,PH1430300000,PH141102000,"97,948"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,BANAUE,PH1402701000,PH142701000,"4,291"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,HUNGDUAN,PH1402702000,PH142702000,"1,983"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,KIANGAN,PH1402703000,PH142703000,"3,953"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,LAGAWE (Capital),PH1402704000,PH142704000,"4,408"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,LAMUT,PH1402705000,PH142705000,"6,213"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,MAYOYAO,PH1402706000,PH142706000,"3,914"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,ALFONSO LISTA (POTIA),PH1402707000,PH142707000,"8,116"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,AGUINALDO,PH1402708000,PH142708000,"5,570"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,HINGYON,PH1402709000,PH142709000,"2,346"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,TINOC,PH1402710000,PH142710000,"4,258"
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,ASIPULO,PH1402711000,PH142711000,"3,327"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,BALBALAN,PH1403201000,PH143201000,"2,511"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,LUBUAGAN,PH1403206000,PH143206000,"1,978"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,PASIL,PH1403208000,PH143208000,"2,064"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,PINUKPUK,PH1403209000,PH143209000,"7,251"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,RIZAL (LIWAN),PH1403211000,PH143211000,"4,457"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,CITY OF TABUK (Capital),PH1403213000,PH143213000,"25,501"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,TANUDAN,PH1403214000,PH143214000,"1,563"
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,TINGLAYAN,PH1403215000,PH143215000,"2,453"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,BARLIG,PH1404401000,PH144401000,"1,278"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,BAUKO,PH1404402000,PH144402000,"7,360"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,BESAO,PH1404403000,PH144403000,"1,737"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,BONTOC (Capital),PH1404404000,PH144404000,"6,405"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,NATONIN,PH1404405000,PH144405000,"2,275"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,PARACELIS,PH1404406000,PH144406000,"7,153"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,SABANGAN,PH1404407000,PH144407000,"2,303"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,SADANGA,PH1404408000,PH144408000,"1,747"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,SAGADA,PH1404409000,PH144409000,"2,798"
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,TADIAN,PH1404410000,PH144410000,"4,478"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,CALANASAN (BAYAG),PH1408101000,PH148101000,"2,607"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,CONNER,PH1408102000,PH148102000,"6,134"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,FLORA,PH1408103000,PH148103000,"4,397"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,KABUGAO (Capital),PH1408104000,PH148104000,"3,494"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,LUNA,PH1408105000,PH148105000,"4,880"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,PUDTOL,PH1408106000,PH148106000,"3,553"
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,SANTA MARCELA,PH1408107000,PH148107000,"3,320"
REGION I (ILOCOS REGION),ILOCOS NORTE,ADAMS,PH0102801000,PH012801000,516
REGION I (ILOCOS REGION),ILOCOS NORTE,BACARRA,PH0102802000,PH012802000,"8,129"
REGION I (ILOCOS REGION),ILOCOS NORTE,BADOC,PH0102803000,PH012803000,"7,617"
REGION I (ILOCOS REGION),ILOCOS NORTE,BANGUI,PH0102804000,PH012804000,"3,714"
REGION I (ILOCOS REGION),ILOCOS NORTE,CITY OF BATAC,PH0102805000,PH012805000,"13,003"
REGION I (ILOCOS REGION),ILOCOS NORTE,BURGOS,PH0102806000,PH012806000,"2,601"
REGION I (ILOCOS REGION),ILOCOS NORTE,CARASI,PH0102807000,PH012807000,337
REGION I (ILOCOS REGION),ILOCOS NORTE,CURRIMAO,PH0102808000,PH012808000,"2,872"
REGION I (ILOCOS REGION),ILOCOS NORTE,DINGRAS,PH0102809000,PH012809000,"9,140"
REGION I (ILOCOS REGION),ILOCOS NORTE,DUMALNEG,PH0102810000,PH012810000,652
REGION I (ILOCOS REGION),ILOCOS NORTE,BANNA (ESPIRITU),PH0102811000,PH012811000,"4,536"
REGION I (ILOCOS REGION),ILOCOS NORTE,CITY OF LAOAG (Capital),PH0102812000,PH012812000,"25,366"
REGION I (ILOCOS REGION),ILOCOS NORTE,MARCOS,PH0102813000,PH012813000,"4,231"
REGION I (ILOCOS REGION),ILOCOS NORTE,NUEVA ERA,PH0102814000,PH012814000,"2,391"
REGION I (ILOCOS REGION),ILOCOS NORTE,PAGUDPUD,PH0102815000,PH012815000,"6,065"
REGION I (ILOCOS REGION),ILOCOS NORTE,PAOAY,PH0102816000,PH012816000,"5,885"
REGION I (ILOCOS REGION),ILOCOS NORTE,PASUQUIN,PH0102817000,PH012817000,"7,052"
